country,champs,drivers,champs_u,Population,continent
Argentina,5,25,1,39921833,South America
Australia,4,17,2,20264082,Oceania
Austria,4,15,2,8192880,Europe
Belgium,0,23,0,10379067,Europe
Brazil,8,32,3,188078227,South America
Canada,1,14,1,38156802,North America
Chile,0,1,0,16134219,South America
Colombia,0,3,0,43593035,South America
Czechia,0,1,0,10235455,Europe
Denmark,0,5,0,5450661,Europe
Finland,4,9,3,5231372,Europe
France,4,73,1,60876136,Europe
Germany,12,53,3,82422299,Europe
India,0,2,0,1095351995,Asia
Indonesia,0,1,0,245452739,Asia
Ireland,0,5,0,4062235,Europe
Italy,3,100,2,58133509,Europe
Japan,0,20,0,127463611,Asia
Malaysia,0,1,0,32889657,Asia
Mexico,0,6,0,107449525,North America
Monaco,0,4,0,39589,Europe
Netherlands,0,17,0,16491461,Europe
New Zealand,1,9,1,4076140,Oceania
Poland,0,1,0,38536869,Europe
Portugal,0,4,0,10605870,Europe
Russia,0,4,0,142893540,Europe
South Africa,1,23,1,44187637,Africa
Spain,2,15,1,40397842,Europe
Sweden,0,10,0,9016596,Europe
Switzerland,0,23,0,7523934,Europe
Thailand,0,2,0,64631595,Asia
United Kingdom,20,165,10,68329862,Europe
United States of America,2,157,2,298444215,North America
Uruguay,0,4,0,3431932,South America
Venezuela,0,3,0,25730435,South America
Zimbabwe,0,4,0,12236805,Africa
